"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 13:33:07 GMT 2022","Mon Jun 27 13:33:10 GMT 2022","2183","test","test_main","TestConduitMain","","","test_pagination",""
"passed","Mon Jun 27 13:32:40 GMT 2022","Mon Jun 27 13:32:42 GMT 2022","2312","test","test_login","TestConduitLogin","","","test_sign_in",""
"passed","Mon Jun 27 13:33:51 GMT 2022","Mon Jun 27 13:33:55 GMT 2022","4105","test","test_main","TestConduitMain","","","test_datas_from_file",""
"passed","Mon Jun 27 13:33:28 GMT 2022","Mon Jun 27 13:33:42 GMT 2022","13960","test","test_main","TestConduitMain","","","test_delete_article",""
"passed","Mon Jun 27 13:32:44 GMT 2022","Mon Jun 27 13:32:55 GMT 2022","10589","test","test_login","TestConduitLogin","","","test_cookie_bar",""
"passed","Mon Jun 27 13:33:46 GMT 2022","Mon Jun 27 13:33:47 GMT 2022","482","test","test_main","TestConduitMain","","","test_datas_to_file",""
"passed","Mon Jun 27 13:32:33 GMT 2022","Mon Jun 27 13:32:38 GMT 2022","5481","test","test_login","TestConduitLogin","","","test_register",""
"passed","Mon Jun 27 13:33:14 GMT 2022","Mon Jun 27 13:33:15 GMT 2022","1263","test","test_main","TestConduitMain","","","test_new_article",""
"passed","Mon Jun 27 13:32:59 GMT 2022","Mon Jun 27 13:32:59 GMT 2022","113","test","test_main","TestConduitMain","","","test_logout",""
"passed","Mon Jun 27 13:33:03 GMT 2022","Mon Jun 27 13:33:03 GMT 2022","619","test","test_main","TestConduitMain","","","test_datas_to_list",""
"passed","Mon Jun 27 13:33:19 GMT 2022","Mon Jun 27 13:33:24 GMT 2022","5091","test","test_main","TestConduitMain","","","test_edit_article",""
